domain,sld,tld,availability_status,score,tag,estimated_price,keyword_score,trend_score,tld_score,brandability_score,length_score,pronounceability_score,source,fetched_at,scored_at,country
drawpay.us,drawpay,.us,✅ Available,65.73,Medium Value,48.75,70.0,60.14,30.0,86.0,80.0,80.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
appapp.de,appapp,.de,❌ Taken,65.7,Medium Value,48.75,70.0,58.2,30.0,85.75,85.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
blockpro.ae,blockpro,.ae,✅ Available,65.4,Medium Value,39.0,85.0,48.2,30.0,79.75,74.0,65.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
corepro.ae,corepro,.ae,✅ Available,65.14,Medium Value,48.75,85.0,41.16,30.0,84.25,80.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
growlearn.ae,growlearn,.ae,✅ Available,65.1,Medium Value,29.25,85.0,48.8,30.0,81.0,67.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
cryptodeck.net,cryptodeck,.net,❌ Taken,64.83,Medium Value,39.0,70.0,67.9,70.0,51.75,60.0,60.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
sellshop.in,sellshop,.in,✅ Available,64.66,Medium Value,39.0,85.0,46.44,30.0,78.25,74.0,60.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
tokenapp.us,tokenapp,.us,✅ Available,64.43,Medium Value,39.0,85.0,58.3,30.0,62.25,74.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
wellpro.ae,wellpro,.ae,❌ Taken,64.21,Medium Value,48.75,85.0,46.44,30.0,73.0,80.0,65.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
builddata.in,builddata,.in,✅ Available,64.16,Medium Value,39.0,70.0,63.05,30.0,81.0,67.0,82.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
halocare.ae,halocare,.ae,✅ Available,63.9,Medium Value,39.0,85.0,48.8,30.0,71.5,74.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
arc.co,arc,.co,❌ Taken,63.89,Medium Value,156.0,70.0,46.56,78.0,49.5,96.5,80.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
myhealth.us,myhealth,.us,❌ Taken,63.81,Medium Value,39.0,70.0,63.05,30.0,75.75,74.0,62.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
tracksell.co,tracksell,.co,❌ Taken,63.79,Medium Value,62.4,70.0,40.74,78.0,71.0,67.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
planlab.de,planlab,.de,❌ Taken,63.54,Medium Value,48.75,70.0,53.35,30.0,83.5,80.0,80.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
linkmeet.co,linkmeet,.co,✅ Available,63.46,Medium Value,62.4,70.0,36.86,78.0,70.75,74.0,82.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇺 Australia
gameship.de,gameship,.de,❌ Taken,63.44,Medium Value,39.0,70.0,65.96,30.0,70.25,74.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
votecloud.au,votecloud,.au,✅ Available,63.44,Medium Value,39.0,70.0,60.14,30.0,81.0,67.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇺 Australia
talkcode.de,talkcode,.de,✅ Available,63.44,Medium Value,39.0,70.0,53.35,30.0,86.0,74.0,87.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
healthedge.au,healthedge,.au,⚠️ For Sale,63.41,Medium Value,39.0,70.0,63.05,30.0,80.75,60.0,87.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇺 Australia
finspot.tech,finspot,.tech,❌ Taken,63.39,Medium Value,107.25,70.0,53.35,60.0,60.25,80.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
metavault.net,metavault,.net,⚠️ For Sale,63.29,Medium Value,39.0,70.0,53.35,70.0,58.75,67.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
cointest.in,cointest,.in,✅ Available,63.19,Medium Value,39.0,70.0,53.35,30.0,84.75,74.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
fundhealth.de,fundhealth,.de,✅ Available,62.96,Medium Value,39.0,70.0,63.05,30.0,78.5,60.0,82.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
streamsnap.us,streamsnap,.us,✅ Available,62.96,Medium Value,39.0,70.0,63.05,30.0,78.5,60.0,82.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
healthwave.ae,healthwave,.ae,✅ Available,62.66,Medium Value,39.0,70.0,63.05,30.0,77.0,60.0,75.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
findfind.de,findfind,.de,❌ Taken,62.64,Medium Value,39.0,70.0,53.35,30.0,82.0,74.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
linkstack.us,linkstack,.us,⚠️ For Sale,62.54,Medium Value,39.0,85.0,49.56,30.0,67.25,67.0,60.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
quantumscope.de,quantumscope,.de,❌ Taken,62.34,Medium Value,32.5,70.0,65.96,30.0,77.75,48.0,82.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
sparkstack.in,sparkstack,.in,❌ Taken,62.29,Medium Value,29.25,85.0,50.56,30.0,68.25,60.0,60.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
mytech.au,mytech,.au,❌ Taken,62.21,Medium Value,48.75,70.0,56.26,30.0,70.75,85.0,37.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇺 Australia
fundstream.de,fundstream,.de,❌ Taken,62.21,Medium Value,39.0,70.0,63.05,30.0,74.75,60.0,70.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
cloudcloud.de,cloudcloud,.de,❌ Taken,62.18,Medium Value,39.0,70.0,60.14,30.0,78.25,60.0,82.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
learnship.com,learnship,.com,❌ Taken,61.94,Medium Value,26.91,55.0,46.56,100.0,60.5,67.0,70.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇬🇧 UK
vibeware.net,vibeware,.net,⚠️ For Sale,61.94,Medium Value,29.25,55.0,46.56,70.0,79.5,74.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
hostcloud.de,hostcloud,.de,❌ Taken,61.94,Medium Value,39.0,70.0,60.14,30.0,73.5,67.0,70.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
mybot.uk,mybot,.uk,⚠️ For Sale,61.81,Medium Value,65.0,70.0,69.84,30.0,49.25,90.0,62.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇬🇧 UK
growtest.in,growtest,.in,✅ Available,61.73,Medium Value,39.0,70.0,48.5,30.0,83.5,74.0,80.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
stellar.de,stellar,.de,❌ Taken,61.69,Medium Value,48.75,70.0,46.56,30.0,82.75,80.0,80.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
superfarm.net,superfarm,.net,⚠️ For Sale,61.54,Medium Value,29.25,55.0,46.56,70.0,81.0,67.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
tradedock.de,tradedock,.de,❌ Taken,61.01,Medium Value,39.0,70.0,50.44,30.0,81.0,67.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
getmint.ae,getmint,.ae,✅ Available,60.81,Medium Value,48.75,70.0,43.65,30.0,82.0,80.0,80.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
getmint.de,getmint,.de,❌ Taken,60.81,Medium Value,48.75,70.0,43.65,30.0,82.0,80.0,80.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
farmtest.tech,farmtest,.tech,✅ Available,60.74,Medium Value,64.35,55.0,46.56,60.0,81.0,74.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
shopplan.ae,shopplan,.ae,✅ Available,60.74,Medium Value,39.0,70.0,46.56,30.0,81.0,74.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
shopdraw.de,shopdraw,.de,✅ Available,60.74,Medium Value,39.0,70.0,46.56,30.0,81.0,74.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
getbase.us,getbase,.us,⚠️ For Sale,60.6,Medium Value,48.75,70.0,38.8,30.0,87.0,80.0,95.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
echocode.us,echocode,.us,✅ Available,60.54,Medium Value,39.0,70.0,53.35,30.0,71.5,74.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
ridesync.ae,ridesync,.ae,✅ Available,60.48,Medium Value,39.0,70.0,48.5,30.0,77.25,74.0,60.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
turbostack.us,turbostack,.us,⚠️ For Sale,60.31,Medium Value,39.0,70.0,50.44,30.0,81.0,60.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
mywallet.in,mywallet,.in,❌ Taken,60.31,Medium Value,39.0,70.0,56.26,30.0,66.75,74.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
walletly.in,walletly,.in,❌ Taken,60.26,Medium Value,39.0,70.0,56.26,30.0,66.5,74.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
buildware.org,buildware,.org,✅ Available,60.04,Medium Value,28.08,55.0,46.56,68.0,75.0,67.0,87.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
turboshop.de,turboshop,.de,✅ Available,60.04,Medium Value,39.0,70.0,46.56,30.0,81.0,67.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
aerostream.de,aerostream,.de,❌ Taken,59.86,Medium Value,39.0,70.0,63.05,30.0,63.0,60.0,77.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
hostbase.de,hostbase,.de,❌ Taken,59.55,Medium Value,39.0,70.0,38.8,30.0,84.75,74.0,87.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
signsell.in,signsell,.in,✅ Available,59.49,Medium Value,39.0,70.0,40.74,30.0,82.0,74.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
sellgift.in,sellgift,.in,✅ Available,59.29,Medium Value,39.0,70.0,40.74,30.0,81.0,74.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
baseclip.us,baseclip,.us,✅ Available,59.2,Medium Value,39.0,70.0,38.8,30.0,83.0,74.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
mynet.com,mynet,.com,❌ Taken,59.15,Medium Value,59.8,70.0,0.0,100.0,70.75,90.0,62.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇬🇧 UK
mymint.ae,mymint,.ae,✅ Available,59.06,Medium Value,48.75,70.0,43.65,30.0,70.75,85.0,37.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
mydash.de,mydash,.de,❌ Taken,59.06,Medium Value,48.75,70.0,43.65,30.0,70.75,85.0,37.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
planstack.ae,planstack,.ae,✅ Available,59.01,Medium Value,39.0,70.0,50.44,30.0,71.0,67.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
arcpulse.ae,arcpulse,.ae,✅ Available,58.94,Medium Value,39.0,70.0,46.56,30.0,72.0,74.0,87.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
bookfind.ae,bookfind,.ae,✅ Available,58.94,Medium Value,29.25,55.0,53.35,30.0,86.0,74.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
shiplearn.net,shiplearn,.net,⚠️ For Sale,58.69,Medium Value,29.25,55.0,46.56,70.0,66.75,67.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
neosell.in,neosell,.in,❌ Taken,58.34,Medium Value,48.75,70.0,40.74,30.0,73.25,80.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
ultracore.us,ultracore,.us,⚠️ For Sale,58.34,Medium Value,39.0,70.0,40.74,30.0,79.75,67.0,82.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
omnishop.ae,omnishop,.ae,✅ Available,58.34,Medium Value,39.0,70.0,46.56,30.0,69.0,74.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
vitachat.in,vitachat,.in,❌ Taken,58.34,Medium Value,39.0,70.0,40.74,30.0,76.25,74.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
myvita.ae,myvita,.ae,✅ Available,58.23,Medium Value,48.75,70.0,40.74,30.0,70.25,85.0,87.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
sparkhost.tech,sparkhost,.tech,✅ Available,58.04,Medium Value,64.35,55.0,46.56,60.0,71.0,67.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
zenlead.ae,zenlead,.ae,✅ Available,57.94,Medium Value,48.75,70.0,46.56,30.0,64.0,80.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
mymed.de,mymed,.de,❌ Taken,57.89,Medium Value,65.0,70.0,53.35,30.0,50.25,90.0,62.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
arcchat.in,arcchat,.in,✅ Available,57.79,Medium Value,48.75,70.0,46.56,30.0,63.25,80.0,60.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
pulsedefi.us,pulsedefi,.us,✅ Available,57.78,Medium Value,39.0,70.0,48.5,30.0,67.25,67.0,80.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
echodash.in,echodash,.in,✅ Available,57.61,Medium Value,39.0,70.0,43.65,30.0,69.0,74.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
farmmine.de,farmmine,.de,✅ Available,57.24,Medium Value,29.25,55.0,46.56,30.0,86.0,74.0,87.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
primedock.us,primedock,.us,❌ Taken,57.24,Medium Value,29.25,55.0,53.35,30.0,81.0,67.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
mylead.de,mylead,.de,❌ Taken,56.99,Medium Value,48.75,70.0,46.56,30.0,56.75,85.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
talknet.co,talknet,.co,⚠️ For Sale,56.9,Medium Value,78.0,70.0,0.0,78.0,81.0,80.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
learnpath.tech,learnpath,.tech,❌ Taken,56.69,Medium Value,64.35,55.0,46.56,60.0,64.25,67.0,82.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
halohub.uk,halohub,.uk,✅ Available,56.61,Medium Value,48.75,70.0,43.65,30.0,61.0,80.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇬🇧 UK
minttrack.de,minttrack,.de,✅ Available,56.56,Medium Value,39.0,70.0,43.65,30.0,67.25,67.0,60.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
netflix.com,netflix,.com,❌ Taken,56.05,Medium Value,44.85,70.0,0.0,100.0,60.25,80.0,72.0,rdap,2026-08-20 06:20:36,2026-08-20 06:21:23,Unknown
leaddeck.us,leaddeck,.us,❌ Taken,55.69,Medium Value,39.0,70.0,46.56,30.0,55.75,74.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
booklearn.de,booklearn,.de,✅ Available,55.54,Medium Value,29.25,55.0,46.56,30.0,81.0,67.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
orbitfarm.in,orbitfarm,.in,✅ Available,55.29,Medium Value,29.25,55.0,46.56,30.0,79.75,67.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
nfthire.de,nfthire,.de,✅ Available,54.79,Medium Value,48.75,70.0,33.95,30.0,64.0,80.0,55.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
sparkspace.uk,sparkspace,.uk,⚠️ For Sale,54.29,Medium Value,29.25,55.0,46.56,30.0,78.25,60.0,75.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇬🇧 UK
netspot.io,netspot,.io,❌ Taken,53.8,Medium Value,165.75,70.0,0.0,85.0,60.25,80.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇬🇧 UK
jari.de,jari,.de,❌ Taken,52.94,Medium Value,48.75,55.0,46.56,30.0,54.0,95.0,95.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
hostnet.de,hostnet,.de,❌ Taken,49.45,Medium Value,37.5,70.0,0.0,30.0,79.75,80.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
luxnet.de,luxnet,.de,❌ Taken,48.65,Medium Value,37.5,70.0,0.0,30.0,73.25,85.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
mynet.in,mynet,.in,✅ Available,48.65,Medium Value,50.0,70.0,0.0,30.0,70.75,90.0,62.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
ultra.com,ultra,.com,❌ Taken,40.8,Medium Value,23.0,0.0,0.0,100.0,84.0,90.0,87.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇬🇧 UK
orbit.ai,orbit,.ai,❌ Taken,39.6,Low Value,140.0,0.0,0.0,92.0,84.0,90.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
drawfeed.com,drawfeed,.com,❌ Taken,39.6,Low Value,13.8,0.0,0.0,100.0,86.0,74.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
snaprent.com,snaprent,.com,❌ Taken,39.1,Low Value,13.8,0.0,0.0,100.0,83.5,74.0,80.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇺 Australia
cliprent.com,cliprent,.com,✅ Available,38.85,Low Value,13.8,0.0,0.0,100.0,82.25,74.0,80.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇬🇧 UK
nova.com,nova,.com,⚠️ For Sale,38.75,Low Value,23.0,0.0,0.0,100.0,71.25,95.0,95.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
wepu.com,wepu,.com,❌ Taken,38.75,Low Value,23.0,0.0,0.0,100.0,71.25,95.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇺 Australia
nawe.com,nawe,.com,❌ Taken,38.75,Low Value,23.0,0.0,0.0,100.0,71.25,95.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
blaze.io,blaze,.io,❌ Taken,38.7,Low Value,85.0,0.0,0.0,85.0,84.75,90.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇬🇧 UK
sendnest.com,sendnest,.com,❌ Taken,38.6,Low Value,13.8,0.0,0.0,100.0,81.0,74.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
drawchat.com,drawchat,.com,❌ Taken,38.6,Low Value,13.8,0.0,0.0,100.0,81.0,74.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
clipclip.com,clipclip,.com,❌ Taken,38.55,Low Value,13.8,0.0,0.0,100.0,80.75,74.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
chatclip.com,chatclip,.com,❌ Taken,38.55,Low Value,13.8,0.0,0.0,100.0,80.75,74.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
primemine.com,primemine,.com,❌ Taken,38.4,Low Value,13.8,0.0,0.0,100.0,83.5,67.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
clipplan.com,clipplan,.com,❌ Taken,38.35,Low Value,13.8,0.0,0.0,100.0,79.75,74.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
flux.io,flux,.io,❌ Taken,38.2,Low Value,85.0,0.0,0.0,85.0,79.75,95.0,70.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
god.com,god,.com,❌ Taken,38.0,Low Value,34.5,0.0,0.0,100.0,66.75,96.5,80.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
primeify.co,primeify,.co,❌ Taken,38.0,Low Value,24.0,10.0,0.0,78.0,79.5,74.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
talkbook.ai,talkbook,.ai,❌ Taken,37.9,Low Value,84.0,0.0,0.0,92.0,83.5,74.0,82.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
planmine.io,planmine,.io,✅ Available,37.85,Low Value,51.0,0.0,0.0,85.0,88.5,74.0,95.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇬🇧 UK
giftclip.com,giftclip,.com,❌ Taken,37.85,Low Value,13.8,0.0,0.0,100.0,77.25,74.0,60.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
ionworks.com,ionworks,.com,❌ Taken,37.5,Low Value,13.8,0.0,0.0,100.0,75.5,74.0,82.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
lockhost.ai,lockhost,.ai,❌ Taken,37.4,Low Value,84.0,0.0,0.0,92.0,81.0,74.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
pulsehire.ai,pulsehire,.ai,❌ Taken,37.2,Low Value,84.0,0.0,0.0,92.0,83.5,67.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
fusiongift.com,fusiongift,.com,⚠️ For Sale,37.2,Low Value,13.8,0.0,0.0,100.0,81.0,60.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
google.com,google,.com,❌ Taken,37.1,Low Value,17.25,0.0,0.0,100.0,68.0,85.0,85.0,rdap,2026-08-20 06:20:32,2026-08-20 06:21:23,Unknown
feedmeet.com,feedmeet,.com,⚠️ For Sale,37.05,Low Value,13.8,0.0,0.0,100.0,73.25,74.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
snapride.co,snapride,.co,⚠️ For Sale,36.8,Low Value,24.0,0.0,0.0,78.0,88.5,74.0,95.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇺 Australia
turbo.org,turbo,.org,❌ Taken,36.75,Low Value,24.0,0.0,0.0,68.0,87.75,90.0,95.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
fluxscope.ai,fluxscope,.ai,✅ Available,36.7,Low Value,84.0,0.0,0.0,92.0,81.0,67.0,87.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
testdraw.ai,testdraw,.ai,✅ Available,36.65,Low Value,84.0,0.0,0.0,92.0,77.25,74.0,60.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
scanwave.io,scanwave,.io,❌ Taken,36.65,Low Value,51.0,0.0,0.0,85.0,82.5,74.0,95.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
facebook.com,facebook,.com,❌ Taken,36.45,Low Value,13.8,0.0,0.0,100.0,70.25,74.0,85.0,rdap,2026-08-20 06:20:33,2026-08-20 06:21:23,Unknown
fundhost.io,fundhost,.io,✅ Available,36.35,Low Value,51.0,0.0,0.0,85.0,81.0,74.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇬🇧 UK
ion.com,ion,.com,❌ Taken,36.25,Low Value,34.5,0.0,0.0,100.0,58.0,96.5,45.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
romiy.com,romiy,.com,❌ Taken,35.65,Low Value,23.0,0.0,0.0,100.0,58.25,90.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
giftplan.io,giftplan,.io,✅ Available,35.6,Low Value,51.0,0.0,0.0,85.0,77.25,74.0,60.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇬🇧 UK
vole.com,vole,.com,❌ Taken,35.55,Low Value,23.0,0.0,0.0,100.0,55.25,95.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
drawdeck.ai,drawdeck,.ai,✅ Available,35.55,Low Value,84.0,0.0,0.0,92.0,71.75,74.0,80.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
digi.com,digi,.com,❌ Taken,35.55,Low Value,23.0,0.0,0.0,100.0,55.25,95.0,95.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
amazon.com,amazon,.com,❌ Taken,35.4,Low Value,17.25,0.0,0.0,100.0,59.5,85.0,85.0,rdap,2026-08-20 06:20:35,2026-08-20 06:21:23,Unknown
zebu.com,zebu,.com,❌ Taken,35.3,Low Value,23.0,0.0,0.0,100.0,54.0,95.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
fundrent.co,fundrent,.co,✅ Available,35.3,Low Value,24.0,0.0,0.0,78.0,81.0,74.0,72.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
tayah.com,tayah,.com,❌ Taken,35.15,Low Value,23.0,0.0,0.0,100.0,55.75,90.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
fegas.com,fegas,.com,⚠️ For Sale,35.15,Low Value,23.0,0.0,0.0,100.0,55.75,90.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇺 Australia
locun.com,locun,.com,❌ Taken,35.15,Low Value,23.0,0.0,0.0,100.0,55.75,90.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
